time_s,angle_rad,x_m,y_m,z_m,velocity_m_s,path_length_m,emf_V,current_A,power_W,cumulative_energy_J,ball_mass_kg
14.078000000000001,22.115513648089227,-0.09063135002176653,-0.01132984644634008,-0.10559379948329027,8.59467797290727,2.6714304298535296,1.7325780689947355e-10,1.7325780689947355e-11,3.0018267651615267e-21,0.969725393061966,0.03288200310757317
14.08,22.11865550256402,-0.09058703965741499,-0.01161348080146207,-0.10560880073339446,8.595898981285293,2.671717896187731,1.703825272248446e-10,1.703825272248446e-11,2.903020558352491e-21,0.969725393061966,0.03288200310757317
14.082,22.121797357038822,-0.09054184174579558,-0.011896948573720511,-0.10562380198349862,8.597119989663316,2.6720053363843435,1.7284924694223998e-10,1.7284924694223998e-11,2.9876862168499458e-21,0.969725393061966,0.03288200310757317
14.084,22.124939211513617,-0.0904957568962334,-0.012180246986114104,-0.1056388032336028,8.598340998041339,2.672292750443374,1.8075153019232636e-10,1.8075153019232635e-11,3.2671115666867464e-21,0.969725393061966,0.03288200310757317
14.086,22.128081065988415,-0.09044878572674114,-0.012463373263828128,-0.10565380448370698,8.599562006419362,2.672580138364833,1.9433873824453962e-10,1.943387382445396e-11,3.776754518247969e-21,0.969725393061966,0.03288200310757317
14.088000000000001,22.13122292046321,-0.09040092886401171,-0.012746324634257747,-0.10566880573381114,8.600783014797384,2.6728675001487274,2.1402316861022072e-10,2.1402316861022072e-11,4.5805916701958966e-21,0.969725393061966,0.03288200310757317
14.09,22.134364774938007,-0.09035218694341032,-0.013029098327038087,-0.10568380698391532,8.602004023175407,2.6731548357950667,2.4039138730446077e-10,2.4039138730446078e-11,5.778801909016326e-21,0.969725393061966,0.03288200310757317
14.092,22.1375066294128,-0.09030256060896666,-0.013311691574068743,-0.1056988082340195,8.60322503155343,2.673442145303859,2.7422003157364286e-10,2.7422003157364287e-11,7.519662571624969e-21,0.969725393061966,0.03288200310757317
14.094,22.140648483887595,-0.09025205051336684,-0.013594101609543165,-0.10571380948412368,8.604446039931453,2.6737294286751125,3.1649646117196753e-10,3.164964611719675e-11,1.0017000993437874e-20,0.969725393061966,0.03288200310757317
14.096,22.143790338362393,-0.09020065731794542,-0.013876325669974739,-0.10572881073422784,8.605667048309476,2.674016685908837,3.684447448560525e-10,3.684447448560525e-11,1.357515300120416e-20,0.969725393061966,0.03288200310757317
