time_s,potential_energy_J,kinetic_energy_J,generator_energy_J
0.265,5.572190858706179e+20,4.0117151180909124e+20,7.691456512676123e+19
0.266,6.275124313340474e+20,4.0368923276973454e+20,7.713659420478459e+19
0.267,5.671040175718547e+20,4.863353164056243e+20,7.740407862880769e+19
0.268,5.0323112302336954e+20,5.0228806123593295e+20,7.768033706248746e+19
0.269,5.392661729573396e+20,4.369932330820937e+20,7.792068334068261e+19
0.27,5.935150586043177e+20,4.335378179843538e+20,7.815912914057401e+19
0.271,5.247320338549794e+20,5.6640383822295604e+20,7.847065125159664e+19
0.272,3.6394032380348563e+20,7.033464494686836e+20,7.885749179880441e+19
0.273,2.984910951593168e+20,6.710367734699065e+20,7.922656202421286e+19
0.274,4.2337459779767304e+20,4.8731660066285774e+20,7.949458615457743e+19
0.275,6.154199663289163e+20,3.363645438281055e+20,7.96795866536829e+19
0.276,6.918959608843689e+20,3.429035337974913e+20,7.986818359727152e+19
0.277,6.090671137868701e+20,4.481810323575044e+20,8.011468316506815e+19
0.278,5.021889909090108e+20,5.31306703996572e+20,8.040690185226627e+19
0.279,4.553080247329561e+20,5.431096708987243e+20,8.070561217126056e+19
0.28,4.660376884881214e+20,5.27890002426639e+20,8.099595167259522e+19
0.281,4.681381871172652e+20,5.494907834029671e+20,8.129817160346685e+19
0.28200000000000003,4.2297193753339914e+20,6.05649773584344e+20,8.163127897893824e+19
0.28300000000000003,3.7766351823772117e+20,6.148549155072552e+20,8.196944918246723e+19
0.28400000000000003,4.2368390380710835e+20,5.0808096851710253e+20,8.224889371515163e+19
0.28500000000000003,5.770324060398357e+20,3.399058116459258e+20,8.24358419115569e+19
0.28600000000000003,7.177055553388881e+20,2.667041284099306e+20,8.258252918218236e+19
0.28700000000000003,6.986940979304021e+20,3.7796169716401085e+20,8.279040811562256e+19
0.28800000000000003,5.2098042654279434e+20,5.775690158154696e+20,8.310807107432107e+19
0.289,3.4868776569520705e+20,6.836915407556169e+20,8.348410142173666e+19
